time,variable,value,nutrient,variable2,lim_nut_H
0.7777777777777777,R_n_low,5.390543247812303e-4,low,R_n,Q[N]
0.7777777777777777,R_p_low,7.3849743198186e-5,low,R_p,Q[N]
0.7777777777777777,Q_n_low,0.005907938328645369,low,Q_n,Q[N]
0.7777777777777777,Q_p_low,0.00103219238135421,low,Q_p,Q[N]
0.7777777777777777,H_low,0.011076300447188915,low,H,Q[N]
0.7777777777777777,V_b_low,0,low,PAV_conc,Q[N]
0.7777777777777777,V_c_low,0,low,RPV_conc,Q[N]
0.7777777777777777,R_n_n,5.816862920503645e-4,+N,R_n,Q[N]
0.7777777777777777,R_p_n,7.384973455910307e-5,+N,R_p,Q[N]
0.7777777777777777,Q_n_n,0.005910608478382243,+N,Q_n,Q[N]
0.7777777777777777,Q_p_n,0.0010321891449170187,+N,Q_p,Q[N]
0.7777777777777777,H_n,0.011076343396097274,+N,H,Q[N]
0.7777777777777777,V_b_n,0,+N,PAV_conc,Q[N]
0.7777777777777777,V_c_n,0,+N,RPV_conc,Q[N]
0.7777777777777777,R_n_p,5.390543247812303e-4,+P,R_n,Q[N]
0.7777777777777777,R_p_p,8.001122305903285e-5,+P,R_p,Q[N]
0.7777777777777777,Q_n_p,0.005907938328645369,+P,Q_n,Q[N]
0.7777777777777777,Q_p_p,0.0010396509223105678,+P,Q_p,Q[N]
0.7777777777777777,H_p,0.011076300447188915,+P,H,Q[N]
0.7777777777777777,V_b_p,0,+P,PAV_conc,Q[N]
0.7777777777777777,V_c_p,0,+P,RPV_conc,Q[N]
0.7777777777777777,R_n_np,5.816862920503645e-4,+N+P,R_n,Q[N]
0.7777777777777777,R_p_np,8.00112142611298e-5,+N+P,R_p,Q[N]
0.7777777777777777,Q_n_np,0.005910608478382243,+N+P,Q_n,Q[N]
0.7777777777777777,Q_p_np,0.001039647670756541,+N+P,Q_p,Q[N]
0.7777777777777777,H_np,0.011076343396097274,+N+P,H,Q[N]
0.7777777777777777,V_b_np,0,+N+P,PAV_conc,Q[N]
0.7777777777777777,V_c_np,0,+N+P,RPV_conc,Q[N]
0.7777777777777777,VbH_low,0,low,PAV_pop,Q[N]
0.7777777777777777,VbH_n,0,+N,PAV_pop,Q[N]
0.7777777777777777,VbH_p,0,+P,PAV_pop,Q[N]
0.7777777777777777,VbH_np,0,+N+P,PAV_pop,Q[N]
0.7777777777777777,VcH_low,0,low,RPV_pop,Q[N]
0.7777777777777777,VcH_n,0,+N,RPV_pop,Q[N]
0.7777777777777777,VcH_p,0,+P,RPV_pop,Q[N]
0.7777777777777777,VcH_np,0,+N+P,RPV_pop,Q[N]
0.7777777777777777,LimQ_low,0.18619016293154486,low,Qlim,Q[N]
0.7777777777777777,LimQ_n,0.18610605050616963,+N,Qlim,Q[N]
0.7777777777777777,LimQ_p,0.18619016293154486,+P,Qlim,Q[N]
0.7777777777777777,LimQ_np,0.18610605050616963,+N+P,Qlim,Q[N]
0.8888888888888888,R_n_low,5.358815097026839e-4,low,R_n,Q[N]
0.8888888888888888,R_p_low,7.263616146728774e-5,low,R_p,Q[N]
0.8888888888888888,Q_n_low,0.0059548839108004925,low,Q_n,Q[N]
0.8888888888888888,Q_p_low,0.0011154865826844707,low,Q_p,Q[N]
0.8888888888888888,H_low,0.011240682541134616,low,H,Q[N]
0.8888888888888888,V_b_low,0,low,PAV_conc,Q[N]
0.8888888888888888,V_c_low,0,low,RPV_conc,Q[N]
0.8888888888888888,R_n_n,5.845917541273694e-4,+N,R_n,Q[N]
0.8888888888888888,R_p_n,7.263614708641755e-5,+N,R_p,Q[N]
0.8888888888888888,Q_n_n,0.005958286632079035,+N,Q_n,Q[N]
0.8888888888888888,Q_p_n,0.0011154815919432249,+N,Q_p,Q[N]
0.8888888888888888,H_n,0.011240745519465628,+N,H,Q[N]
0.8888888888888888,V_b_n,0,+N,PAV_conc,Q[N]
0.8888888888888888,V_c_n,0,+N,RPV_conc,Q[N]
0.8888888888888888,R_n_p,5.358815097026839e-4,+P,R_n,Q[N]
0.8888888888888888,R_p_p,7.966068808139604e-5,+P,R_p,Q[N]
0.8888888888888888,Q_n_p,0.0059548839108004925,+P,Q_n,Q[N]
0.8888888888888888,Q_p_p,0.001125161085101042,+P,Q_p,Q[N]
0.8888888888888888,H_p,0.011240682541134616,+P,H,Q[N]
0.8888888888888888,V_b_p,0,+P,PAV_conc,Q[N]
0.8888888888888888,V_c_p,0,+P,RPV_conc,Q[N]
0.8888888888888888,R_n_np,5.845917541273694e-4,+N+P,R_n,Q[N]
