well,sample,target,task,reporter,quencher,cycle,cycle_mean,cycle_sd,quantity,quantity_mean,quantity_sd,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,comments,high_sd,no_amp,outlier_rg,exp_fail,q_group
D1,PAV 1e6,PAV,STANDARD,FAM,NFQ-MGB,27.18422699,27.12483215,0.053910855,1000000,NA,NA,TRUE,0.035657635,TRUE,3,25,NA,N,Y,N,Y,1
D1,PAV 1e6,RPV,UNKNOWN,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
D2,PAV 1e6,PAV,STANDARD,FAM,NFQ-MGB,27.11128235,27.12483215,0.053910855,1000000,NA,NA,TRUE,0.035657635,TRUE,3,24,NA,N,Y,N,Y,1
D2,PAV 1e6,RPV,UNKNOWN,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
D3,PAV 1e6,PAV,STANDARD,FAM,NFQ-MGB,27.07899094,27.12483215,0.053910855,1000000,NA,NA,TRUE,0.035657635,TRUE,3,24,NA,N,Y,N,Y,1
D3,PAV 1e6,RPV,UNKNOWN,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
D4,RPV 1e6,PAV,UNKNOWN,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
D4,RPV 1e6,RPV,STANDARD,VIC,NFQ-MGB,26.89934158,26.96221924,0.085724466,1000000,NA,NA,TRUE,0.032394665,TRUE,3,24,NA,N,Y,N,Y,1
D5,RPV 1e6,PAV,UNKNOWN,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
D5,RPV 1e6,RPV,STANDARD,VIC,NFQ-MGB,27.05986595,26.96221924,0.085724466,1000000,NA,NA,TRUE,0.032394665,TRUE,3,25,NA,N,Y,N,Y,1
D6,RPV 1e6,PAV,UNKNOWN,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
D6,RPV 1e6,RPV,STANDARD,VIC,NFQ-MGB,26.92745018,26.96221924,0.085724466,1000000,NA,NA,TRUE,0.032394665,TRUE,3,24,NA,N,Y,N,Y,1
D7,PAV 1e6,PAV,TEST,FAM,NFQ-MGB,25.81381607,25.68599892,0.110888258,2258517.75,2469824.25,183367.7031,TRUE,0.035657635,TRUE,3,23,NA,N,Y,N,Y,1
D7,PAV 1e6,RPV,TEST,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
D8,PAV 1e6,PAV,TEST,FAM,NFQ-MGB,25.61548615,25.68599892,0.110888258,2587132.5,2469824.25,183367.7031,TRUE,0.035657635,TRUE,3,23,NA,N,Y,N,Y,1
D8,PAV 1e6,RPV,TEST,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
D9,PAV 1e6,PAV,TEST,FAM,NFQ-MGB,25.62870026,25.68599892,0.110888258,2563823,2469824.25,183367.7031,TRUE,0.035657635,TRUE,3,23,NA,N,Y,N,Y,1
D9,PAV 1e6,RPV,TEST,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
D10,RPV 1e6,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
D10,RPV 1e6,RPV,TEST,VIC,NFQ-MGB,27.04903412,27.07665253,0.067390867,949279.6875,932954,40470.02734,TRUE,0.032394665,TRUE,3,25,NA,N,Y,N,Y,1
D11,RPV 1e6,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
D11,RPV 1e6,RPV,TEST,VIC,NFQ-MGB,27.02745819,27.07665253,0.067390867,962711.125,932954,40470.02734,TRUE,0.032394665,TRUE,3,24,NA,N,Y,N,Y,1
D12,RPV 1e6,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
D12,RPV 1e6,RPV,TEST,VIC,NFQ-MGB,27.15346527,27.07665253,0.067390867,886871.125,932954,40470.02734,TRUE,0.032394665,TRUE,3,25,NA,N,Y,N,Y,1
E1,PAV 1e7,PAV,STANDARD,FAM,NFQ-MGB,23.26191139,23.37690926,0.099798404,10000000,NA,NA,TRUE,0.035657635,TRUE,3,21,NA,N,Y,N,Y,1
E1,PAV 1e7,RPV,UNKNOWN,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
E2,PAV 1e7,PAV,STANDARD,FAM,NFQ-MGB,23.42798805,23.37690926,0.099798404,10000000,NA,NA,TRUE,0.035657635,TRUE,3,21,NA,N,Y,N,Y,1
E2,PAV 1e7,RPV,UNKNOWN,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
E3,PAV 1e7,PAV,STANDARD,FAM,NFQ-MGB,23.44083023,23.37690926,0.099798404,10000000,NA,NA,TRUE,0.035657635,TRUE,3,21,NA,N,Y,N,Y,1
E3,PAV 1e7,RPV,UNKNOWN,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
E4,RPV 1e7,PAV,UNKNOWN,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
E4,RPV 1e7,RPV,STANDARD,VIC,NFQ-MGB,23.19020653,23.19471931,0.017301595,10000000,NA,NA,TRUE,0.032394665,TRUE,3,21,NA,N,Y,N,Y,1
E5,RPV 1e7,PAV,UNKNOWN,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
E5,RPV 1e7,RPV,STANDARD,VIC,NFQ-MGB,23.18012238,23.19471931,0.017301595,10000000,NA,NA,TRUE,0.032394665,TRUE,3,21,NA,N,Y,N,Y,1
E6,RPV 1e7,PAV,UNKNOWN,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
E6,RPV 1e7,RPV,STANDARD,VIC,NFQ-MGB,23.21383095,23.19471931,0.017301595,10000000,NA,NA,TRUE,0.032394665,TRUE,3,21,NA,N,Y,N,Y,1
E7,PAV 1e7,PAV,TEST,FAM,NFQ-MGB,22.21891975,22.16965675,0.103845373,26494778,27450840,1989079.75,TRUE,0.035657635,TRUE,3,20,NA,N,Y,N,Y,1
E7,PAV 1e7,RPV,TEST,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
E8,PAV 1e7,PAV,TEST,FAM,NFQ-MGB,22.23970222,22.16965675,0.103845373,26120310,27450840,1989079.75,TRUE,0.035657635,TRUE,3,20,NA,N,Y,N,Y,1
E8,PAV 1e7,RPV,TEST,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
E9,PAV 1e7,PAV,TEST,FAM,NFQ-MGB,22.05034828,22.16965675,0.103845373,29737434,27450840,1989079.75,TRUE,0.035657635,TRUE,3,19,NA,N,Y,N,Y,1
E9,PAV 1e7,RPV,TEST,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
E10,RPV 1e7,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
E10,RPV 1e7,RPV,TEST,VIC,NFQ-MGB,23.26971245,23.27537346,0.009116388,11122615,11081828,65674.76563,TRUE,0.032394665,TRUE,3,21,NA,N,Y,N,Y,1
